Rolling Stone Magazine Rank,Artist,ID Artist,Main Grammy awards,Main Grammy Nominations,Total Awards,Total Nominations,UK number 1's
1,The Beatles,882,2,10,14,29,17
2,Bob Dylan,127,1,4,10,38,1
3,Elvis Presley,287,0,2,2,4,21
4,The Rolling Stones,912,0,1,4,14,8
5,Chuck Berry,197,0,0,0,0,1
6,Jimi Hendrix,444,0,0,0,1,0
7,James Brown,422,0,0,3,8,0
8,Little Richard,551,0,0,0,0,0
9,Aretha Franklin,56,0,0,18,44,1
10,Ray Charles,750,2,6,17,37,1
11,Bob Marley,128,0,0,0,0,0
12,Beach Boys,96,0,0,0,4,2
13,Buddy Holly,153,0,0,0,0,2
14,Led Zeppelin,524,0,0,1,3,0
15,Stevie Wonder,857,3,8,25,74,2
16,Sam Cooke,789,0,0,0,6,0
17,Muddy Waters,639,0,0,6,11,0
18,Marvin Gaye,602,0,0,2,12,1
19,Velvet Underground,982,0,0,0,0,0
20,Bo Diddley,126,0,0,0,2,0
21,Otis Redding,695,0,0,2,5,0
22,U2,972,6,11,22,46,7
23,Bruce Springsteen,148,1,8,20,50,0
24,Jerry Lee Lewis,439,0,0,1,3,0
25,Fats Domino,313,0,0,0,0,0
26,The Ramones,909,0,0,0,0,0
27,Prince,735,0,3,7,38,0
28,The Clash,887,0,0,1,1,1
29,The Who,930,0,0,0,2,0
30,Nirvana,674,0,0,1,6,0
31,Johnny Cash,454,0,2,13,35,0
32,Smokey Robinson,839,0,0,0,1,0
33,Everly Brothers,303,0,0,0,4,4
34,Neil Young,657,0,3,2,27,0
35,Michael Jackson,616,3,8,13,38,7
36,Madonna,583,0,3,7,28,13
37,Roy Orbison,780,0,1,5,9,3
38,John Lennon,452,1,2,1,4,3
39,David Bowie,227,0,1,5,19,5
40,Simon and Garfunkel,833,3,4,7,11,1
41,The Doors,890,0,0,0,0,0
42,Van Morrison,977,0,0,2,7,0
43,Sly and The Family Stone,838,0,0,0,0,0
44,Public Enemy,738,0,0,0,6,0
45,The Byrds,883,0,0,0,0,1
46,Janis Joplin,428,0,0,0,2,0
47,Patti Smith,709,0,0,0,4,0
48,Run,784,0,0,0,1,1
49,Elton John,285,0,7,5,34,7
50,The Band,880,0,0,0,0,0
51,Pink Floyd,725,0,1,1,4,1
52,Queen,740,0,0,0,4,6
53,The Allman Brothers Band,879,0,0,1,8,0
54,Howlin Wolf,395,0,0,0,3,0
55,Eric Clapton,296,5,6,17,37,0
56,Dr. Dre,266,0,4,6,26,0
57,Grateful Dead,371,0,0,0,0,0
58,Parliament Funkadelic,706,0,0,0,0,0
59,Aerosmith,19,0,0,4,14,0
60,Sex Pistols,814,0,0,0,0,0
61,Metallica,613,0,0,8,18,0
62,Joni Mitchell,459,1,3,8,16,0
63,Tina Turner,939,2,3,8,25,0
64,Phil Spector,721,1,3,1,3,0
65,The Kinks,899,0,0,0,0,0
66,Al Green,25,0,0,11,21,0
67,Cream,208,0,0,0,1,0
68,The Temptations,923,0,0,4,9,0
69,Jackie Wilson,416,0,0,0,2,0
70,The Police,905,0,2,5,8,5
71,Frank Zappa,336,0,0,2,9,0
72,AC DC,16,0,0,1,7,0
73,Radiohead,746,0,3,3,18,0
74,Hank Williams,383,0,0,0,0,0
75,The Eagles,893,1,4,6,18,0
76,The Shirelles,917,0,0,0,0,0
77,Beastie Boys,97,0,0,3,10,0
78,The Stooges,918,0,0,0,0,0
79,The Four Tops,894,0,0,0,1,1
80,Elvis Costello,286,0,0,1,14,0
81,The Drifters,892,0,0,0,1,0
82,Creedence Clearwater Revival,210,0,0,0,0,1
83,Eminem,289,0,9,15,44,9
84,James Taylor,424,0,5,5,18,0
85,Black Sabbath,114,0,0,2,4,0
86,2Pac,5,0,0,0,6,1
87,Gram Parsons,370,0,0,0,1,0
88,Jay Z,434,0,10,22,77,4
89,The Yardbirds,932,0,0,0,0,0
90,Carlos Santana,166,2,2,10,14,0
91,Tom Petty,946,0,2,3,18,0
92,Guns N Roses,376,0,0,0,3,0
93,Booker T and The MG s,140,0,0,1,4,0
94,Nine Inch Nails,672,0,0,2,10,0
95,Lynyrd Skynyrd,571,0,0,0,0,0
96,Diana Ross and the Supremes,244,0,0,0,2,1
97,R.E.M.,744,0,3,3,13,0
98,Curtis Mayfield,211,0,0,0,8,0
99,Carl Perkins,164,0,0,1,2,0
100,Talking Heads,872,0,0,0,2,0
