Artistes;Artistes - nom corrig�;ID
3LW;3LW;1
112;112;2
*NSYNC;NSYNC;680
2 Chainz;2 Chainz;3
21 Savage;21 Savage;4
2Pac;2Pac;5
3 Doors Down;3 Doors Down;6
3OH!3;3OH3;7
5 Seconds of Summer;5 Seconds of Summer;8
50 Cent;50 Cent;9
6ix9ine;6ix9ine;10
99 Souls;99 Souls;11
A Boogie Wit da Hoodie;A Boogie Wit da Hoodie;12
A$AP Ferg;ASAP Ferg;61
A$AP Rocky;ASAP Rocky;62
A.R. Rahman;A.R. Rahman;13
A1;A1;14
Aaliyah;Aaliyah;15
AC/DC;AC DC;16
Adam Lambert;Adam Lambert;17
Adele;Adele;18
Aerosmith;Aerosmith;19
Afroman;Afroman;20
Agnes;Agnes;21
AJ Tracey;AJ Tracey;22
AJR;AJR;23
Akon;Akon;24
Al Green;Al Green;25
Alan Walker;Alan Walker;26
Alanis Morissette;Alanis Morissette;27
Alec Benjamin;Alec Benjamin;28
Alesha Dixon;Alesha Dixon;29
Alessia Cara;Alessia Cara;30
Alesso;Alesso;31
Alex & Sierra;Alex and Sierra;32
Alex Clare;Alex Clare;33
Alex Gaudino;Alex Gaudino;34
Alexandra Burke;Alexandra Burke;35
Alexandra Stan;Alexandra Stan;36
Alice Deejay;Alice Deejay;37
Alicia Keys;Alicia Keys;38
Alien Ant Farm;Alien Ant Farm;39
Alison Krauss;Alison Krauss;40
All Saints;All Saints;41
All Time Low;All Time Low;42
Aloe Blacc;Aloe Blacc;43
Alok;Alok;44
alt-J;alt J;45
AlunaGeorge;AlunaGeorge;46
Amanda Perez;Amanda Perez;47
Amerie;Amerie;48
Amy Winehouse;Amy Winehouse;49
Anastacia;Anastacia;50
Angie Martinez;Angie Martinez;51
Anne-Marie;Anne Marie;52
Anuel AA;Anuel AA;53
Arcade Fire;Arcade Fire;54
Arctic Monkeys;Arctic Monkeys;55
Aretha Franklin;Aretha Franklin;56
Ariana Grande;Ariana Grande;57
Armand Van Helden;Armand Van Helden;58
Armin van Buuren;Armin van Buuren;59
Asaf Avidan & the Mojos;Asaf Avidan and the Mojos;60
Ashanti;Ashanti;63
Asher Roth;Asher Roth;64
Ashlee Simpson;Ashlee Simpson;65
Ashley O;Ashley O;66
Astrid S;Astrid S;67
Atomic Kitten;Atomic Kitten;68
Audioslave;Audioslave;69
Ava Max;Ava Max;70
Avant;Avant;71
Aventura;Aventura;72
Avicii;Avicii;73
Avril Lavigne;Avril Lavigne;74
AWOLNATION;AWOLNATION;75
Axwell /\ Ingrosso;Axwell and Ingrosso;76
Ayo & Teo;Ayo and Teo;77
Azealia Banks;Azealia Banks;78
B Young;B Young;79
B.o.B;B.o.B;80
B2K;B2K;81
BØRNS;BORNS;141
Baauer;Baauer;82
Baby Bash;Baby Bash;83
Baby Boy Da Prince;Baby Boy Da Prince;84
Backstreet Boys;Backstreet Boys;85
Bad Bunny;Bad Bunny;86
Bad Meets Evil;Bad Meets Evil;87
Baha Men;Baha Men;88
Banx & Ranx;Banx and Ranx;89
Barbra Streisand;Barbra Streisand;90
Barry Gibb;Barry Gibb;91
Basement Jaxx;Basement Jaxx;92
Basshunter;Basshunter;93
Bastille;Bastille;94
Bazzi;Bazzi;95
Beach Boys;Beach Boys;96
Beastie Boys;Beastie Boys;97
Beatles;Beatles;98
Beck;Beck;99
Becky G;Becky G;100
Bellie Eilish;Billie Eilish;109
Benny Benassi;Benny Benassi;101
benny blanco;benny blanco;102
Bette Midler;Bette Midler;103
Beyoncé;Beyonce;104
Beyonce;Beyonce;104
Big Brovaz;Big Brovaz;105
Big Sean;Big Sean;106
Big Shaq;Big Shaq;107
Big Tymers;Big Tymers;108
Billie Eilish;Billie Eilish;109
Billy Joel;Billy Joel;110
Bingo Players;Bingo Players;111
Birdy;Birdy;112
Black Eyed Peas;Black Eyed Peas;113
Black Sabbath;Black Sabbath;114
blackbear;blackbear;115
BLACKPINK;BLACKPINK;116
Blake Shelton;Blake Shelton;117
Blanco Brown;Blanco Brown;118
Blazin' Squad;Blazin Squad;119
blink-182;blink 182;120
BlocBoy JB;BlocBoy JB;121
Blood, Sweat & Tears;Blood, Sweat and Tears;122
Blu Cantrell;Blu Cantrell;123
Blue;Blue;124
Blueface;Blueface;125
Bo Diddley;Bo Diddley;126
Bob Dylan;Bob Dylan;127
Bob Marley;Bob Marley;128
Bob Newhart;Bob Newhart;129
Bob Sinclar;Bob Sinclar;130
Bobby Darin;Bobby Darin;131
Bobby McFerrin;Bobby McFerrin;132
Bobby Shmurda;Bobby Shmurda;133
Bobby V.;Bobby V.;134
Bodyrockers;Bodyrockers;135
Bomfunk MC's;Bomfunk MC s;136
Bon Jovi;Bon Jovi;137
Bone Thugs-N-Harmony;Bone Thugs N Harmony;138
Bonnie Raitt;Bonnie Raitt;139
Booker T & The MG's;Booker T and The MG s;140
Bow Wow;Bow Wow;142
Boys Like Girls;Boys Like Girls;143
Brandy;Brandy;144
Brian McFadden;Brian McFadden;145
Bridgit Mendler;Bridgit Mendler;146
