Year,Musician,ID Artist,Nationality,Earnings (Millions),Adjusted earnings
1987,Bruce Springsteen,148,United States,$56,134
1988,Michael Jackson,616,United States,$97,222
1989,Michael Jackson,616,United States,$125,273
1990,Michael Jackson,616,United States,$100,207
1991,New Kids on the Block,661,United States,$115,229
1992,New Kids on the Block,661,United States,$62,120
1993,Guns N Roses,376,United States,$53,99
1994,Pink Floyd,725,United Kingdom,$62,113
1995,The Beatles,882,United Kingdom,$130,231
1996,The Beatles,882,United Kingdom,$130,225
1997,The Beatles,882,United Kingdom,$98,165
1998,The Rolling Stones,912,United Kingdom,$57,95
1999,Backstreet Boys,85,United States,$60,98
2001,The Beatles,882,United Kingdom,$70,107
2002,U2,972,Ireland,$69,104
2003,The Rolling Stones,912,United Kingdom,$66.50,98
2004,Bruce Springsteen,148,United States,$64,92
2005,Madonna,583,United States,$50,69
2006,U2,972,Ireland,$110,148
2007,The Rolling Stones,912,United Kingdom,$110,144
2008,The Police,905,United Kingdom,$115,145
2009,Madonna,583,United States,$110,139
2010,U2,972,Ireland,$130,162
2011,U2,972,Ireland,$195,235
2012,Dr. Dre,266,United States,$110,130
2013,Madonna,583,United States,$125,145
2014,Dr. Dre,266,United States,$620,710
2015,Katy Perry,479,United States,$135,154
2016,Taylor Swift,875,United States,$170,192
2017,Diddy,245,United States,$130,144
2018,U2,972,Ireland,$118,127
2019,Taylor Swift,875,United States,$185,196
2020,Kanye West,475,United States,$170,178
2021,Bruce Springsteen,148,United States,$435,435
