,artist,duration_ms,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,year_min,year_max,name
0,112,229013.0,0.0,60.0,0.6685000000000001,0.615,-5.398,0.18745,0.006685,3.505e-06,0.0634,150.925,0.5005000000000001,2001,2001,2
1,2 Chainz,219053.0,0.5,70.0,0.6924999999999999,0.702,-5.9830000000000005,0.275,0.04285,0.0004435,0.0832,122.501,0.542,2013,2017,2
2,21 Savage,254465.0,1.0,76.0,0.8605,0.4915,-7.9350000000000005,0.21799999999999997,0.02725,0.000975,0.21455000000000002,110.494,0.325,2017,2018,2
3,2Pac,252279.5,1.0,62.5,0.7755000000000001,0.6599999999999999,-6.0085,0.12485,0.06155,0.0,0.1379,88.77250000000001,0.519,2001,2004,2
4,3 Doors Down,243602.4,0.0,65.4,0.5278,0.7926,-5.5716,0.036219999999999995,0.015864,3.232e-06,0.141,122.21280000000002,0.3846,2000,2012,5
5,3LW,263440.0,0.0,56.0,0.721,0.723,-7.08,0.0631,0.102,4.4e-06,0.0651,88.933,0.761,2000,2000,1
6,3OH3,196035.33333333334,0.3333333333333333,54.666666666666664,0.6926666666666668,0.799,-4.664666666666666,0.13520000000000001,0.007823333333333333,0.0,0.252,135.97633333333332,0.5346666666666667,2008,2010,3
7,5 Seconds of Summer,187801.66666666666,0.0,48.0,0.5316666666666666,0.7443333333333334,-4.985,0.272,0.16882299999999997,0.0,0.18289999999999998,152.03733333333332,0.4036666666666666,2014,2019,3
8,50 Cent,227030.66666666666,1.0,71.11111111111111,0.721,0.7185555555555555,-4.889555555555556,0.2995555555555556,0.11666666666666667,0.0006987611111111112,0.15368888888888887,99.97999999999999,0.7066666666666667,2003,2007,9
9,6ix9ine,168523.5,1.0,52.5,0.7955000000000001,0.581,-7.0265,0.292,0.07164999999999999,0.0,0.1325,141.507,0.5055000000000001,2018,2018,2
10,99 Souls,216613.0,0.0,55.0,0.683,0.943,-3.6,0.0397,0.00423,0.0972,0.0356,118.991,0.706,2016,2016,1
11,A Boogie Wit da Hoodie,192734.66666666666,1.0,49.333333333333336,0.737,0.6863333333333334,-5.196000000000001,0.1337,0.3077666666666667,0.0,0.12533333333333332,106.03133333333334,0.5946666666666667,2017,2018,3
12,A.R. Rahman,222400.0,0.0,65.0,0.657,0.941,-3.919,0.061,0.0476,0.0,0.0797,136.202,0.879,2009,2009,1
13,A1,206466.0,0.0,53.0,0.519,0.874,-5.122,0.034,0.0524,0.0,0.243,96.072,0.572,2001,2001,1
14,AJ Tracey,190537.0,0.0,69.0,0.903,0.839,-9.447,0.208,0.0939,0.0,0.102,133.986,0.727,2019,2019,1
15,AJR,201160.0,0.0,0.0,0.673,0.637,-4.518,0.0429,0.137,0.0,0.184,123.98,0.678,2017,2017,1
16,ASAP Ferg,173600.0,1.0,74.0,0.797,0.844,-5.482,0.275,0.0651,0.0,0.087,170.142,0.52,2017,2017,1
17,ASAP Rocky,233786.0,1.0,76.0,0.853,0.693,-6.87,0.275,0.0239,0.0,0.11,95.967,0.662,2013,2013,1
18,AWOLNATION,259102.0,0.0,2.0,0.825,0.435,-9.582,0.0568,0.452,0.609,0.0953,119.038,0.243,2011,2011,1
19,Aaliyah,258653.0,0.0,32.75,0.6715,0.58,-6.63025,0.10994999999999999,0.20577499999999999,0.001065,0.173275,95.65,0.6,2002,2019,4
20,Adam Lambert,217825.0,0.5,51.5,0.5705,0.704,-5.2075,0.04445,0.09575,9.6e-06,0.11614999999999999,152.9445,0.36550000000000005,2009,2015,2
21,Adele,253151.42857142858,0.14285714285714285,12.0,0.5614285714285714,0.5660000000000001,-5.906285714285715,0.030728571428571428,0.3841542857142857,2.3714285714285714e-07,0.1051857142857143,111.70685714285715,0.35869999999999996,2008,2015,7
22,Afroman,197760.0,1.0,68.0,0.802,0.341,-8.56,0.488,0.169,0.0,0.0783,166.01,0.849,2001,2001,1
