,ID Artist,year,genre,duration,popularity
0,147,2000,pop,211.16,77
1,120,1999,rock,167.066,79
1,120,1999,pop,167.066,79
2,307,1999,pop,250.546,66
2,307,1999,country,250.546,66
3,137,2000,rock,224.493,78
3,137,2000,metal,224.493,78
4,680,2000,pop,200.56,65
5,835,1999,hiphop,253.733,69
5,835,1999,pop,253.733,69
5,835,1999,r&b,253.733,69
6,289,2000,hiphop,284.2,86
7,766,2000,pop,258.56,68
7,766,2000,rock,258.56,68
8,242,1999,pop,271.333,75
8,242,1999,r&b,271.333,75
9,633,2001,dance/electronic,307.153,77
10,360,2011,pop,238.759,1
11,279,1999,pop,268.863,56
12,136,2000,pop,306.333,55
13,858,1999,rock,285.96,62
13,858,1999,pop,285.96,62
14,612,1999,pop,294.2,61
14,612,1999,dance/electronic,294.2,61
15,15,2002,hiphop,284.0,53
15,15,2002,pop,284.0,53
15,15,2002,r&b,284.0,53
16,50,1999,pop,245.4,64
17,37,2000,pop,214.883,73
18,360,1999,pop,285.426,64
19,266,1999,hiphop,161.506,82
20,548,2000,rock,216.88,83
20,548,2000,metal,216.88,83
21,944,1999,rock,211.893,65
21,944,1999,folk/acoustic,211.893,65
21,944,1999,easylistening,211.893,65
22,844,2000,pop,240.866,62
23,574,2000,hiphop,244.466,54
24,612,1999,pop,352.173,54
24,612,1999,dance/electronic,352.173,54
25,547,2000,metal,321.04,72
26,221,2001,pop,225.493,69
26,221,2001,dance/electronic,225.493,69
27,214,2000,hiphop,221.16,53
27,214,2000,pop,221.16,53
27,214,2000,r&b,221.16,53
28,634,2000,pop,318.28,54
28,634,2000,dance/electronic,318.28,54
29,186,2016,dance/electronic,210.786,47
30,260,1999,hiphop,268.866,71
30,260,1999,pop,268.866,71
31,233,2000,pop,220.106,49
31,233,2000,r&b,220.106,49
32,583,2000,pop,225.973,58
33,782,2000,r&b,242.56,52
34,147,1999,pop,243.533,58
35,636,1999,hiphop,276.266,59
35,636,1999,pop,276.266,59
35,636,1999,r&b,276.266,59
36,512,2000,pop,207.866,55
36,512,2000,dance/electronic,207.866,55
37,434,1999,hiphop,283.066,69
38,523,2001,pop,229.826,61
38,523,2001,country,229.826,61
39,71,2000,pop,255.6,55
39,71,2000,r&b,255.6,55
40,292,1999,pop,219.36,54
40,292,1999,latin,219.36,54
41,949,2000,pop,261.933,66
41,949,2000,r&b,261.933,66
42,142,2000,hiphop,175.893,36
42,142,2000,pop,175.893,36
42,142,2000,r&b,175.893,36
43,266,1999,hiphop,222.293,79
44,628,1998,hiphop,215.466,49
44,628,1998,pop,215.466,49
44,628,1998,r&b,215.466,49
45,85,1999,pop,234.96,68
46,793,2018,pop,201.946,43
47,645,2000,pop,236.906,59
47,645,2000,r&b,236.906,59
48,604,2000,r&b,198.346,64
49,662,2004,hiphop,243.666,52
49,662,2004,pop,243.666,52
49,662,2004,r&b,243.666,52
50,427,2001,pop,265.026,47
50,427,2001,r&b,265.026,47
51,759,2000,pop,280.626,60
51,759,2000,latin,280.626,60
52,417,2000,hiphop,244.053,55
52,417,2000,pop,244.053,55
52,417,2000,r&b,244.053,55
53,835,1999,hiphop,274.226,60
53,835,1999,pop,274.226,60
53,835,1999,r&b,274.226,60
54,434,2000,hiphop,227.866,59
55,591,1999,pop,257.36,59
55,591,1999,r&b,257.36,59
56,88,2000,r&b,198.4,65
57,265,1999,pop,243.733,63
57,265,1999,r&b,243.733,63
58,523,2001,pop,215.506,65
58,523,2001,country,215.506,65
59,683,2000,folk/acoustic,278.666,0
59,683,2000,rock,278.666,0
60,256,2010,pop,219.24,58
60,256,2010,easylistening,219.24,58
60,256,2010,dance/electronic,219.24,58
61,724,2000,pop,298.96,52
62,591,2011,pop,199.48,0
62,591,2011,r&b,199.48,0
63,205,2000,hiphop,257.2,60
63,205,2000,pop,257.2,60
63,205,2000,r&b,257.2,60
64,193,1999,pop,273.706,61
65,583,2000,pop,273.533,58
66,753,1999,rock,255.373,78
67,794,2000,hiphop,251.04,55
67,794,2000,pop,251.04,55
67,794,2000,r&b,251.04,55
68,205,2000,hiphop,235.133,70
68,205,2000,pop,235.133,70
68,205,2000,r&b,235.133,70
